#hg38.knownGene.name	hg38.kgXref.geneSymbol
ENST00000450305.2	DDX11L1
ENST00000832825.1	DDX11L16
ENST00000832837.1	DDX11L16
ENST00000832848.1	DDX11L16
ENST00000832828.1	DDX11L16
ENST00000832836.1	DDX11L16
ENST00000832842.1	DDX11L16
ENST00000832845.1	DDX11L16
ENST00000832849.1	DDX11L16
ENST00000832824.1	DDX11L16
ENST00000832826.1	DDX11L16
ENST00000832827.1	DDX11L16
ENST00000832830.1	DDX11L16
ENST00000832832.1	DDX11L16
ENST00000832833.1	DDX11L16
ENST00000832834.1	DDX11L16
ENST00000832843.1	DDX11L16
ENST00000832844.1	DDX11L16
ENST00000832847.1	DDX11L16
ENST00000832846.1	DDX11L16
ENST00000832841.1	DDX11L16
ENST00000832829.1	DDX11L16
ENST00000832831.1	DDX11L16
ENST00000832835.1	DDX11L16
ENST00000832840.1	DDX11L16
ENST00000456328.3	DDX11L16
ENST00000832839.1	DDX11L16
ENST00000832838.1	DDX11L16
ENST00000831747.1	WASH7P
ENST00000831746.1	WASH7P
ENST00000619216.1	MIR6859-1
ENST00000831739.1	WASH7P
ENST00000831738.1	WASH7P
ENST00000831741.1	WASH7P
ENST00000831707.1	WASH7P
ENST00000488147.2	WASH7P
ENST00000831698.1	WASH7P
ENST00000831699.1	WASH7P
ENST00000831700.1	WASH7P
ENST00000831701.1	WASH7P
ENST00000831702.1	WASH7P
ENST00000831703.1	WASH7P
ENST00000831704.1	WASH7P
ENST00000831705.1	WASH7P
ENST00000831706.1	WASH7P
ENST00000831712.1	WASH7P
ENST00000831714.1	WASH7P
ENST00000831715.1	WASH7P
ENST00000831716.1	WASH7P
ENST00000832823.1	DDX11L16
ENST00000831748.1	WASH7P
ENST00000831678.1	WASH7P
ENST00000831710.1	WASH7P
ENST00000831677.1	WASH7P
ENST00000831737.1	WASH7P
ENST00000831517.1	WASH7P
ENST00000831505.1	WASH7P
ENST00000831506.1	WASH7P
ENST00000831507.1	WASH7P
ENST00000831491.1	WASH7P
ENST00000831499.1	WASH7P
ENST00000831664.1	WASH7P
ENST00000831665.1	WASH7P
ENST00000831201.1	WASH7P
ENST00000831387.1	WASH7P
ENST00000831405.1	WASH7P
ENST00000831417.1	WASH7P
ENST00000831463.1	WASH7P
ENST00000831464.1	WASH7P
ENST00000831465.1	WASH7P
ENST00000831467.1	WASH7P
ENST00000831504.1	WASH7P
ENST00000831508.1	WASH7P
ENST00000831509.1	WASH7P
ENST00000831514.1	WASH7P
ENST00000831636.1	WASH7P
ENST00000831639.1	WASH7P
ENST00000831640.1	WASH7P
ENST00000831646.1	WASH7P
ENST00000831657.1	WASH7P
ENST00000831658.1	WASH7P
ENST00000831659.1	WASH7P
ENST00000831661.1	WASH7P
ENST00000831662.1	WASH7P
ENST00000834619.1	MIR1302-2HG
ENST00000831210.1	WASH7P
ENST00000831633.1	WASH7P
ENST00000831655.1	WASH7P
ENST00000831656.1	WASH7P
ENST00000831735.1	WASH7P
ENST00000831206.1	WASH7P
ENST00000831361.1	WASH7P
ENST00000831363.1	WASH7P
ENST00000831369.1	WASH7P
ENST00000831371.1	WASH7P
ENST00000831430.1	WASH7P
ENST00000831433.1	WASH7P
ENST00000831438.1	WASH7P
ENST00000831439.1	WASH7P
ENST00000831444.1	WASH7P
ENST00000831447.1	WASH7P
ENST00000831480.1	WASH7P
ENST00000831481.1	WASH7P
ENST00000831482.1	WASH7P
ENST00000831484.1	WASH7P
ENST00000831628.1	WASH7P
ENST00000831619.1	WASH7P
ENST00000831621.1	WASH7P
ENST00000831622.1	WASH7P
ENST00000831624.1	WASH7P
ENST00000831625.1	WASH7P
ENST00000831626.1	WASH7P
ENST00000831627.1	WASH7P
ENST00000831629.1	WASH7P
ENST00000831632.1	WASH7P
ENST00000831645.1	WASH7P
ENST00000831635.1	WASH7P
ENST00000831638.1	WASH7P
ENST00000831644.1	WASH7P
ENST00000831648.1	WASH7P
ENST00000831649.1	WASH7P
ENST00000831650.1	WASH7P
ENST00000831651.1	WASH7P
ENST00000831653.1	WASH7P
ENST00000831205.1	WASH7P
ENST00000831215.1	WASH7P
ENST00000831423.1	WASH7P
ENST00000831424.1	WASH7P
ENST00000831500.1	WASH7P
