Gene Easy_bp Difficult_bp Lowmap_bp
ACTA2 50490 4453 1418
ACVRL1 12822 2911 4
APC 119230 16891 234
APOB 39948 2697 89
ATP7B 71933 5569 1539
BAG3 22124 3609 166
BMPR1A 145134 20442 4549
BRCA1 62638 13419 6906
BRCA2 74936 8615 632
BTD 108205 11436 2321
CACNA1S 67584 4602 110
CALM1 7888 3491 1619
CALM2 13585 2102 222
CASQ2 63442 4194 217
CYP27A1 29747 2867 253
DES 6511 1745 52
DSC2 36756 6618 9
DSG2 44401 5947 837
DSP 40007 4614 58
ENG 31057 5560 142
FBN1 214588 20305 1043
FLNC 16355 12427 2668
HFE 9627 914 70
HNF1A 16197 6066 202
KCNQ1 312066 84853 5370
LDLR 35678 5611 1102
LMNA 48181 7716 161
MAX 85431 7436 541
MEN1 5734 2006 32
MLH1 50552 4514 1342
MSH2 64626 10764 1898
MSH6 20402 2376 21
MUTYH 9277 1837 3
MYBPC3 14739 5320 67
MYH11 136166 11321 619
MYH7 19570 3220 1678
NF2 82574 8516 2107
PALB2 32095 4308 490
PCSK9 20918 4189 89
PKP2 91085 10798 2755
PLN 11154 2138 59
PMS2 7596 25081 23909
PRKAG2 272438 33952 1239
PTEN 79567 17538 4572
RB1 134100 39612 11974
RBM20 179675 11815 969
RET 41593 11278 1
RPE65 19787 1141 1
RYR1 117338 28188 1148
RYR2 677660 91001 16133
SCN5A 88197 11040 353
SDHAF2 14855 1754 121
SDHB 31588 3100 92
SDHC 52792 6619 1638
SDHD 7435 1363 782
SMAD3 117937 7676 319
SMAD4 46663 7153 93
STK11 8609 13051 251
TGFBR2 80143 5353 198
TMEM127 14874 1705 152
TP53 16683 2025 178
TPM1 26005 2922 116
TRDN 339477 73869 14614
TSC1 49701 2471 35
TSC2 20897 18467 555
TTN 241857 21216 917
TTR 6696 249 13
VHL 9531 1301 179
WT1 40707 5289 146
